platform,category_group,lifespan_bucket,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap
polymarket,Science/Tech,1-6h,14,6,0.16568524180172645,-0.025743329626845005,0.15259227579056509,0.0028079460961558667
polymarket,Science/Tech,6-24h,68,13,0.11099484135876603,-0.08005419792984707,-0.022393465748649498,-0.083657729398781
polymarket,Science/Tech,1-7d,1004,20,0.022634619855763184,-0.009565661433390125,-0.002600845477903761,0.0008087611581861374
polymarket,Science/Tech,7-30d,491,20,0.032804270435992815,-0.009854979010831943,0.0037538738293966256,0.004788570275368872
polymarket,Science/Tech,30-180d,530,13,0.01754814234138132,-0.005526782492749571,-0.006051351214874854,-0.0004806015714438927
polymarket,Science/Tech,>180d,124,4,0.008713617417845688,0.006388552736082068,-0.001413274610483768,0.003316728313176087
polymarket,Sports,<=1h,157,8,0.09140228789491742,0.02478019378388334,0.59,
polymarket,Sports,1-6h,672,18,0.057683586500333235,-0.04151675471918731,0.36857141628565404,-0.3709999961199354
polymarket,Sports,6-24h,6863,20,0.044448667644788886,-0.035086263773224186,0.04830683808505074,-0.36651925585344475
polymarket,Sports,1-7d,8237,20,0.03008125762071973,-0.004816071551723,0.03869570443344189,-0.16633321976038157
polymarket,Sports,7-30d,8391,20,0.00798035870463887,-0.00010132610607580934,-0.00031763602386611985,-0.003827307261293949
polymarket,Sports,30-180d,1312,19,0.01193080157460986,-0.008744920125915332,-0.0016246121841732768,-0.005699111915779653
polymarket,Sports,>180d,499,11,0.008717531933292704,-0.003763513067965873,-0.0017983426367981267,0.0012827647008468723
polymarket,Weather,<=1h,1,1,0.45999999999999996,0.45999999999999996,,
polymarket,Weather,1-6h,16,4,0.19401343488658024,-0.050986565113419785,,
polymarket,Weather,6-24h,407,20,0.06515312788368265,0.013804017367618252,0.01064926601319833,-0.028389231358229954
polymarket,Weather,1-7d,6560,20,0.018305068591553605,-0.001562282144873345,0.010258214517604036,-0.06417141042489782
polymarket,Weather,7-30d,193,17,0.07965204335740307,-0.022411145314885104,-0.010667707528378733,-0.03654473466398717
polymarket,Weather,30-180d,85,10,0.029494017789537322,-0.004072942489099403,-0.005741536322068331,0.006565368504434849
polymarket,Weather,>180d,13,2,0.0014465046615599825,-0.0009827434717657097,-0.0015790112866617,0.0010048159112209243
polymarket,World Events,1-6h,5,4,0.15625735136266278,-0.15625735136266278,-0.09,
polymarket,World Events,6-24h,40,16,0.18672062138005646,-0.0992842768217378,-0.0578085821422175,-0.07335660810910982
polymarket,World Events,1-7d,396,20,0.04764383224895317,-0.026861343613416848,-0.016884651916154764,-0.029154147928971575
polymarket,World Events,7-30d,660,19,0.021010203529936954,-0.017161533309370102,-0.007743692221894448,-0.0042025090604047586
polymarket,World Events,30-180d,494,19,0.0205189562513635,0.0007712635530532881,-0.0061672738683630456,0.0036284866438815186
polymarket,World Events,>180d,81,3,0.0037243070240040466,-0.0031755084302319903,-0.003992036084236564,0.0020205766407062065
