platform,lifespan_bucket,horizon_label,horizon_hours,life_stage_index,life_stage_bucket,market_count,mean_abs_move_to_final_cents,median_abs_move_to_final_cents,p90_abs_move_to_final_cents,mean_signed_move_to_final_cents,median_staleness_age_hours
polymarket,6-24h,6h,6.0,2,20-30%,824,9.917655408479108,2.999999130749952,39.9699879949922,-1.1614702058586097,1.7615277777777778
polymarket,6-24h,6h,6.0,3,30-40%,948,9.034331328928223,2.000218144143332,38.57000000000013,0.3029096668022394,1.787777777777778
polymarket,6-24h,6h,6.0,4,40-50%,1345,7.9834233728381685,2.0,28.999737521545864,-0.05255842984757524,2.2266666666666666
polymarket,6-24h,6h,6.0,5,50-60%,2270,10.269173124722164,2.999987809990614,45.0,-1.0281821727511335,1.4447222222222225
polymarket,6-24h,6h,6.0,6,60-70%,4109,10.244196623167117,2.999985419993294,42.90000000729601,-0.7023675635604578,0.5491666666666664
polymarket,6-24h,6h,6.0,7,70-80%,1971,13.215880811113847,3.000000010579896,48.0000043350018,0.04700000293004836,0.1480555555555556
polymarket,6-24h,1h,1.0,0,0-10%,99,4.3413957236867695,0.0,4.399986044805864,0.08079028274389016,11.235555555555555
polymarket,6-24h,1h,1.0,1,10-20%,193,6.001405650075352,0.0,33.20000000000033,-1.2572664139587684,8.838611111111112
polymarket,6-24h,1h,1.0,2,20-30%,188,1.3277037272328027,0.0,3.1281552399631685,0.23805342214363892,7.385000000000001
polymarket,6-24h,1h,1.0,3,30-40%,344,1.695503252424948,0.0,4.0,0.36021281899543756,6.370138888888889
polymarket,6-24h,1h,1.0,4,40-50%,512,1.112724501226699,0.0,2.999999992107692,-0.039111414083064344,5.856527777777778
polymarket,6-24h,1h,1.0,5,50-60%,782,1.4645919404109438,0.0,3.922939541374097,-0.11197181183151957,4.823055555555555
polymarket,6-24h,1h,1.0,6,60-70%,1506,1.9875155967991807,0.0,3.999999875207532,0.11189097611800045,3.9216666666666664
polymarket,6-24h,1h,1.0,7,70-80%,3024,2.0860729685162123,0.0,3.379502483155429,0.12148737019346782,2.51875
polymarket,6-24h,1h,1.0,8,80-90%,6886,3.0629741057743827,0.0,4.422290242239793,-0.08230829406063042,1.1541666666666668
polymarket,6-24h,1h,1.0,9,90-100%,8436,5.491878219337571,0.9999952974954951,12.226244448930458,-0.16181157152863612,0.19444444444444442
polymarket,7-30d,7d,168.0,0,0-10%,5350,16.073942072468988,0.5999999999999943,53.000000024500004,-1.5424069969980134,134.54250000000002
polymarket,7-30d,7d,168.0,1,10-20%,7609,24.189796150424172,17.9,57.900000000000006,-0.4924531484614101,2.226944444444456
polymarket,7-30d,7d,168.0,2,20-30%,4420,15.152307323270051,2.000000137065417,51.89999918953755,0.08367670811845607,18.134305555555557
polymarket,7-30d,7d,168.0,3,30-40%,4331,12.66038094058781,3.0000001667652327,43.900000000000006,0.13937748475978337,3.25555555555556
