platform,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,3d,72.0,<=1h,75,77.5,75-80,238,184,0.773109243697479,0.7711764705882354,0.0019327731092436684,0.7158069122895943,0.8217350159808108
kalshi,3d,72.0,<=1h,80,82.5,80-85,232,199,0.8577586206896551,0.8196982758620689,0.038060344827586245,0.8069717204518692,0.8968905328571315
kalshi,3d,72.0,<=1h,85,87.5,85-90,210,183,0.8714285714285714,0.8681428571428572,0.003285714285714225,0.819398464815287,0.910113472992885
kalshi,3d,72.0,<=1h,90,92.5,90-95,258,244,0.9457364341085271,0.9192248062015504,0.026511627906976698,0.910988816952253,0.9674048378375134
kalshi,3d,72.0,<=1h,95,97.5,95-100,411,406,0.9878345498783455,0.9737712895377129,0.014063260340632655,0.9718411772669431,0.9947928343654489
kalshi,3d,72.0,<=6h,0,2.5,0-5,4781,59,0.012340514536707802,0.0176594854632922,-0.005318970926584397,0.009579448606220262,0.015884633632155195
kalshi,3d,72.0,<=6h,5,7.5,5-10,1907,110,0.05768222338751967,0.06766649187205034,-0.009984268484530677,0.04808017418498273,0.06906276429824897
kalshi,3d,72.0,<=6h,10,12.5,10-15,1460,154,0.10547945205479452,0.11916438356164383,-0.01368493150684931,0.09074500458494837,0.1222846018970644
kalshi,3d,72.0,<=6h,15,17.5,15-20,1098,162,0.14754098360655737,0.16879781420765028,-0.021256830601092902,0.12779319366993808,0.16974648898499167
kalshi,3d,72.0,<=6h,20,22.5,20-25,998,221,0.22144288577154309,0.21902805611222445,0.0024148296593186347,0.19677703686054615,0.24824501053696663
kalshi,3d,72.0,<=6h,25,27.5,25-30,923,251,0.27193932827735645,0.2691332611050921,0.002806067172264337,0.24422240748440482,0.3015467940706398
kalshi,3d,72.0,<=6h,30,32.5,30-35,772,248,0.32124352331606215,0.31827720207253885,0.0029663212435233066,0.28925852483814857,0.35499875654506147
