category_group,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Science/Tech,55,57.5,55-60,5,1,0.2,0.5660000000000001,-0.36600000000000005,0.03622316096978745,0.6244717358814613
Science/Tech,60,62.5,60-65,2,1,0.5,0.615,-0.11499999999999999,0.09452865480086614,0.9054713451991339
Science/Tech,65,67.5,65-70,5,2,0.4,0.6679999999999999,-0.2679999999999999,0.1176182311592533,0.769280067791163
Science/Tech,70,72.5,70-75,6,5,0.8333333333333334,0.7216666666666667,0.11166666666666669,0.43649056343635395,0.9699474141282697
Science/Tech,75,77.5,75-80,4,3,0.75,0.7675,-0.01749999999999996,0.3006360524426366,0.9544139373553637
Science/Tech,80,82.5,80-85,5,3,0.6,0.8079999999999999,-0.20799999999999996,0.23071993220883708,0.8823817688407467
Science/Tech,85,87.5,85-90,7,6,0.8571428571428571,0.8685714285714287,-0.011428571428571566,0.48686549668097007,0.9743210440510253
Science/Tech,90,92.5,90-95,17,17,1.0,0.9211764705882354,0.07882352941176463,0.8156763396284354,1.0
Science/Tech,95,97.5,95-100,106,105,0.9905660377358491,0.9832075471698113,0.0073584905660377675,0.9484851921062201,0.9983327712155086
Sports,0,2.5,0-5,158441,1287,0.008122897482343586,0.015027107882429423,-0.006904210400085837,0.007692683700684275,0.008576963035483122
Sports,5,7.5,5-10,45757,1894,0.04139257381384269,0.06816487094870731,-0.02677229713486462,0.03960555078453452,0.04325659657597208
Sports,10,12.5,10-15,18217,1427,0.07833342482296755,0.11888236262831421,-0.04054893780534666,0.07451980787037654,0.08232484633044809
Sports,15,17.5,15-20,12320,1436,0.11655844155844156,0.16818181818181815,-0.0516233766233766,0.11101113521505224,0.12234480145975862
Sports,20,22.5,20-25,8730,1419,0.1625429553264605,0.21863802978235966,-0.056095074455899174,0.15495214058068038,0.1704306325623545
