platform,liquidity_quintile,liquidity_quintile_label,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2,Q2 Low-Mid,95,97.5,95-100,8633,8528,0.9878373682381559,0.980590756399861,0.007246611838294892,0.985298501448237,0.9899422624902842
kalshi,3,Q3 Mid,0,2.5,0-5,56803,376,0.006619368695315388,0.013719697903279758,-0.0071003292079643695,0.005985059333905101,0.00732040843566722
kalshi,3,Q3 Mid,5,7.5,5-10,12927,360,0.027848688790902763,0.06753925891544829,-0.03969057012454553,0.025149454980221465,0.030828463734674866
kalshi,3,Q3 Mid,10,12.5,10-15,6229,325,0.05217530903836892,0.11748916358966126,-0.06531385455129234,0.04692353376204208,0.057979116098336204
kalshi,3,Q3 Mid,15,17.5,15-20,4084,353,0.08643486777668952,0.1676052889324192,-0.08117042115572967,0.07820039248992139,0.0954466490197105
kalshi,3,Q3 Mid,20,22.5,20-25,2655,308,0.1160075329566855,0.2178719397363465,-0.101864406779661,0.10437727523572175,0.1287474058283928
kalshi,3,Q3 Mid,25,27.5,25-30,2109,342,0.16216216216216217,0.2688051209103841,-0.10664295874822194,0.1470471467061596,0.17850570117415482
kalshi,3,Q3 Mid,30,32.5,30-35,1552,355,0.22873711340206185,0.31802190721649487,-0.08928479381443302,0.20852517289672737,0.25028862922811623
kalshi,3,Q3 Mid,35,37.5,35-40,1333,346,0.2595648912228057,0.36888972243060764,-0.10932483120780195,0.236744864548395,0.28376676525127603
kalshi,3,Q3 Mid,40,42.5,40-45,1066,312,0.2926829268292683,0.41728893058161354,-0.12460600375234526,0.2661524161380164,0.32070231076734973
kalshi,3,Q3 Mid,45,47.5,45-50,936,375,0.40064102564102566,0.4703525641025641,-0.06971153846153844,0.3697152760299024,0.43237903433048175
kalshi,3,Q3 Mid,50,52.5,50-55,931,393,0.4221267454350161,0.5162943071965629,-0.09416756176154678,0.3907841257245277,0.4541093835074105
kalshi,3,Q3 Mid,55,57.5,55-60,575,300,0.5217391304347826,0.569304347826087,-0.04756521739130437,0.480900134457781,0.5622895740911553
kalshi,3,Q3 Mid,60,62.5,60-65,532,305,0.5733082706766918,0.6178947368421053,-0.04458646616541351,0.5309011022646767,0.6146643036313942
kalshi,3,Q3 Mid,65,67.5,65-70,509,358,0.7033398821218074,0.6699803536345776,0.033359528487229784,0.6622528331223537,0.7413805694721315
kalshi,3,Q3 Mid,70,72.5,70-75,572,453,0.791958041958042,0.7184965034965035,0.07346153846153847,0.7567995127220765,0.8232211040586493
kalshi,3,Q3 Mid,75,77.5,75-80,686,563,0.8206997084548106,0.769868804664723,0.05083090379008759,0.79023191498472,0.8475956674631927
kalshi,3,Q3 Mid,80,82.5,80-85,871,788,0.904707233065442,0.8194029850746268,0.08530424799081515,0.88339211661552,0.9224680528140087
kalshi,3,Q3 Mid,85,87.5,85-90,1183,1097,0.9273034657650042,0.8709213863060018,0.05638207945900242,0.9110841496724588,0.9407565677408843
kalshi,3,Q3 Mid,90,92.5,90-95,2394,2327,0.9720133667502089,0.9224101921470342,0.04960317460317465,0.9646122574873625,0.9779020437075122
kalshi,3,Q3 Mid,95,97.5,95-100,12857,12706,0.9882554250602784,0.9809208991211014,0.00733452593917705,0.9862418991716088,0.9899772621000765
kalshi,4,Q4 Mid-High,0,2.5,0-5,54937,212,0.0038589657243751933,0.013300507854451462,-0.00944154213007627,0.003374050847266311,0.00441326342641966
kalshi,4,Q4 Mid-High,5,7.5,5-10,9662,170,0.017594700890084868,0.06504139929621196,-0.047446698406127086,0.015158392176570817,0.02041446471775279
kalshi,4,Q4 Mid-High,10,12.5,10-15,4566,156,0.03416557161629435,0.11721419185282522,-0.08304862023653087,0.029275780662131344,0.03983856238205644
kalshi,4,Q4 Mid-High,15,17.5,15-20,2684,167,0.06222056631892697,0.16794336810730254,-0.10572280178837556,0.05369273381883481,0.07199979210977643
kalshi,4,Q4 Mid-High,20,22.5,20-25,1937,176,0.09086215797625194,0.21837893649974188,-0.12751677852348994,0.07885940236576981,0.10448456552939482
kalshi,4,Q4 Mid-High,25,27.5,25-30,1550,230,0.14838709677419354,0.2683225806451613,-0.11993548387096775,0.13155952694235,0.16695326869911042
kalshi,4,Q4 Mid-High,30,32.5,30-35,1153,209,0.18126626192541198,0.31777103209019947,-0.1365047701647875,0.16009968966207563,0.20454971437042116
kalshi,4,Q4 Mid-High,35,37.5,35-40,909,194,0.21342134213421343,0.36896589658965895,-0.15554455445544552,0.1880204361474491,0.24123432174263823
kalshi,4,Q4 Mid-High,40,42.5,40-45,802,213,0.2655860349127182,0.41720698254364086,-0.15162094763092265,0.23618976923939786,0.29721729239653655
kalshi,4,Q4 Mid-High,45,47.5,45-50,737,268,0.36363636363636365,0.4707055630936228,-0.10706919945725918,0.3296961080700716,0.39899083391590756
kalshi,4,Q4 Mid-High,50,52.5,50-55,718,347,0.4832869080779944,0.5145543175487465,-0.03126740947075207,0.4469203038926648,0.5198314045153848
kalshi,4,Q4 Mid-High,55,57.5,55-60,542,279,0.514760147601476,0.5691881918819188,-0.05442804428044279,0.47272820563055173,0.5565843275292515
kalshi,4,Q4 Mid-High,60,62.5,60-65,519,312,0.6011560693641619,0.6180154142581888,-0.016859344894026962,0.5584336173265796,0.6423920247034349
kalshi,4,Q4 Mid-High,65,67.5,65-70,546,372,0.6813186813186813,0.6706043956043957,0.010714285714285676,0.6410827591913019,0.7190209506771402
kalshi,4,Q4 Mid-High,70,72.5,70-75,529,413,0.780718336483932,0.7177693761814744,0.06294896030245756,0.743504008250952,0.8138849043264443
kalshi,4,Q4 Mid-High,75,77.5,75-80,727,619,0.8514442916093535,0.7696698762035763,0.08177441540577723,0.8237458618043961,0.8754480538128869
kalshi,4,Q4 Mid-High,80,82.5,80-85,944,843,0.8930084745762712,0.8185487288135593,0.07445974576271186,0.8716728104727902,0.9111584136473581
kalshi,4,Q4 Mid-High,85,87.5,85-90,1415,1330,0.9399293286219081,0.8710388692579505,0.06889045936395766,0.9263166953403901,0.9511596910300124
kalshi,4,Q4 Mid-High,90,92.5,90-95,2975,2868,0.9640336134453782,0.9227193277310924,0.04131428571428575,0.9567215268754785,0.9701488377655956
kalshi,4,Q4 Mid-High,95,97.5,95-100,22952,22763,0.9917654234925061,0.982159288950854,0.009606134541652045,0.9905111807961444,0.9928550748762244
kalshi,5,Q5 Highest,0,2.5,0-5,56695,127,0.0022400564423670517,0.013126025222682776,-0.010885968780315725,0.0018831781874130596,0.002664385620310306
kalshi,5,Q5 Highest,5,7.5,5-10,4696,92,0.019591141396933562,0.06397998296422487,-0.04438884156729131,0.016002106434936207,0.023965538432073774
kalshi,5,Q5 Highest,10,12.5,10-15,1863,86,0.04616210413311862,0.11528180354267312,-0.0691196994095545,0.0375315059002161,0.05666052410382921
kalshi,5,Q5 Highest,15,17.5,15-20,1091,81,0.07424381301558204,0.16750687442713108,-0.09326306141154904,0.060136474844157274,0.0913389531994976
kalshi,5,Q5 Highest,20,22.5,20-25,782,64,0.08184143222506395,0.21727621483375958,-0.13543478260869563,0.06461079234748943,0.1031604226149152
kalshi,5,Q5 Highest,25,27.5,25-30,580,84,0.14482758620689656,0.268,-0.12317241379310345,0.11852203786649054,0.17580710894319215
kalshi,5,Q5 Highest,30,32.5,30-35,487,101,0.20739219712525667,0.3171868583162218,-0.10979466119096512,0.17374097609910938,0.24562364173279405
kalshi,5,Q5 Highest,35,37.5,35-40,369,81,0.21951219512195122,0.3695934959349594,-0.15008130081300816,0.1802877581877919,0.264516684234942
kalshi,5,Q5 Highest,40,42.5,40-45,301,76,0.25249169435215946,0.41674418604651164,-0.1642524916943522,0.20674139494061589,0.30448017061998994
kalshi,5,Q5 Highest,45,47.5,45-50,300,95,0.31666666666666665,0.46873333333333334,-0.15206666666666668,0.2666274830211129,0.37134177464472345
kalshi,5,Q5 Highest,50,52.5,50-55,380,169,0.44473684210526315,0.5138684210526315,-0.06913157894736838,0.3955725892366379,0.49500727495734215
kalshi,5,Q5 Highest,55,57.5,55-60,258,132,0.5116279069767442,0.5694961240310077,-0.05786821705426348,0.4509105350903168,0.5720040819911554
kalshi,5,Q5 Highest,60,62.5,60-65,301,192,0.6378737541528239,0.6185049833887043,0.01936877076411958,0.5821552161266702,0.6901173346013144
kalshi,5,Q5 Highest,65,67.5,65-70,311,222,0.7138263665594855,0.669967845659164,0.043858520900321496,0.6612238469575384,0.7612107995440673
kalshi,5,Q5 Highest,70,72.5,70-75,362,278,0.7679558011049724,0.72,0.04795580110497244,0.7217930008751001,0.8084911439569802
kalshi,5,Q5 Highest,75,77.5,75-80,488,396,0.8114754098360656,0.7683401639344263,0.04313524590163931,0.774389807920659,0.8436953642160614
kalshi,5,Q5 Highest,80,82.5,80-85,530,469,0.8849056603773585,0.8182830188679246,0.06662264150943387,0.854922187814306,0.9093494613040843
kalshi,5,Q5 Highest,85,87.5,85-90,839,767,0.9141835518474374,0.8704886769964243,0.04369487485101309,0.893292020937889,0.9312994562744366
kalshi,5,Q5 Highest,90,92.5,90-95,1995,1888,0.9463659147869674,0.9226867167919799,0.023679197994987522,0.9355940379257981,0.9554220385857175
kalshi,5,Q5 Highest,95,97.5,95-100,38176,38031,0.9962018021793797,0.9860218461860855,0.010179955993294243,0.9955328352653707,0.9967709148895278
polymarket,1,Q1 Lowest,0,2.5,0-5,18135,158,0.008712434518886132,0.007359346103125896,0.0013530884157602358,0.007460038105948634,0.010172929150350687
polymarket,1,Q1 Lowest,5,7.5,5-10,1508,101,0.06697612732095491,0.06504465030333345,0.0019314770176214607,0.055427370973031485,0.0807255170014759
polymarket,1,Q1 Lowest,10,12.5,10-15,902,63,0.06984478935698447,0.11820932067665034,-0.048364531319665865,0.05497037534970141,0.08836770936621359
polymarket,1,Q1 Lowest,15,17.5,15-20,703,75,0.10668563300142248,0.16997004457148526,-0.06328441157006279,0.0859642413445584,0.13168225823894095
polymarket,1,Q1 Lowest,20,22.5,20-25,783,138,0.17624521072796934,0.21938403056158345,-0.04313881983361412,0.15115519806899752,0.20449656208196554
polymarket,1,Q1 Lowest,25,27.5,25-30,1135,266,0.2343612334801762,0.2713524306624755,-0.03699119718229929,0.21063848647327862,0.2598761136256289
polymarket,1,Q1 Lowest,30,32.5,30-35,838,208,0.24821002386634844,0.3218174225249033,-0.07360739865855487,0.2201555039376627,0.2785625446833606
polymarket,1,Q1 Lowest,35,37.5,35-40,804,257,0.31965174129353235,0.3723597802406461,-0.05270803894711373,0.2883393328517168,0.35267940151403004
polymarket,1,Q1 Lowest,40,42.5,40-45,1880,741,0.3941489361702128,0.42565190736356406,-0.03150297119335127,0.3722965478250717,0.4164330353840473
polymarket,1,Q1 Lowest,45,47.5,45-50,3828,1742,0.455067920585162,0.4722233128871144,-0.0171553923019524,0.4393454479096971,0.47088048627296863
polymarket,1,Q1 Lowest,50,52.5,50-55,4314,2124,0.49235048678720444,0.5195066295116761,-0.0271561427244717,0.4774450851504021,0.5072695000256728
polymarket,1,Q1 Lowest,55,57.5,55-60,2028,1115,0.5498027613412229,0.5664403500610843,-0.01663758871986143,0.5280754308175113,0.5713417678460064
polymarket,1,Q1 Lowest,60,62.5,60-65,754,445,0.5901856763925729,0.617449751645401,-0.027264075252828035,0.5547104789705659,0.6247465474053944
polymarket,1,Q1 Lowest,65,67.5,65-70,491,325,0.6619144602851323,0.6715621403114024,-0.009647680026270034,0.6189576105239678,0.7023573314695912
polymarket,1,Q1 Lowest,70,72.5,70-75,380,273,0.718421052631579,0.7211689820061141,-0.002747929374535163,0.6711863991895508,0.7612836613770997
polymarket,1,Q1 Lowest,75,77.5,75-80,399,300,0.7518796992481203,0.7687495701780052,-0.0168698709298849,0.7072305693720351,0.7917248513193731
polymarket,1,Q1 Lowest,80,82.5,80-85,339,265,0.7817109144542773,0.8188124340963532,-0.037101519642075864,0.7347136329285537,0.8223949559941441
polymarket,1,Q1 Lowest,85,87.5,85-90,354,320,0.903954802259887,0.8738253968226749,0.030129405437212098,0.8687820380106606,0.9304542721332689
polymarket,1,Q1 Lowest,90,92.5,90-95,619,539,0.8707592891760905,0.9238871954681512,-0.05312790629206077,0.8420273600527417,0.8949176352719121
polymarket,1,Q1 Lowest,95,97.5,95-100,11204,10878,0.9709032488397001,0.9916645342004649,-0.020761285360764714,0.9676259044001407,0.9738577796662009
polymarket,2,Q2 Low-Mid,0,2.5,0-5,21631,82,0.0037908557163330407,0.005601859953651118,-0.0018110042373180773,0.003055353436329208,0.004702577178702427
polymarket,2,Q2 Low-Mid,5,7.5,5-10,1289,68,0.05275407292474787,0.06772153199031217,-0.0149674590655643,0.041825297934449994,0.06634077592950983
polymarket,2,Q2 Low-Mid,10,12.5,10-15,1018,78,0.07662082514734773,0.11922425959035382,-0.042603434443006086,0.06182601174146124,0.09459901538603091
polymarket,2,Q2 Low-Mid,15,17.5,15-20,923,107,0.11592632719393282,0.17051446510165724,-0.05458813790772442,0.09684635730886033,0.1381901365213691
polymarket,2,Q2 Low-Mid,20,22.5,20-25,1073,189,0.17614165890027958,0.2208503644457754,-0.04470870554549583,0.15451476182159457,0.20007926574940565
polymarket,2,Q2 Low-Mid,25,27.5,25-30,1484,360,0.24258760107816713,0.27174669178193017,-0.029159090703763046,0.22146107978915,0.2650433975691925
polymarket,2,Q2 Low-Mid,30,32.5,30-35,1209,301,0.24896608767576509,0.32119220373352575,-0.07222611605776066,0.2254119721728435,0.2741104716483447
polymarket,2,Q2 Low-Mid,35,37.5,35-40,856,290,0.338785046728972,0.3709169251127136,-0.03213187838374165,0.30786121706122743,0.3711494286204889
polymarket,2,Q2 Low-Mid,40,42.5,40-45,1478,574,0.38836265223274696,0.4233481283193774,-0.03498547608663044,0.36383500012702,0.4134691327843519
polymarket,2,Q2 Low-Mid,45,47.5,45-50,2019,919,0.4551758296186231,0.47155840359249773,-0.01638257397387466,0.4335591308510868,0.47696278050371216
polymarket,2,Q2 Low-Mid,50,52.5,50-55,2219,1135,0.5114916629112213,0.5196074076012371,-0.008115744690015858,0.49069124092780997,0.5322523642305602
polymarket,2,Q2 Low-Mid,55,57.5,55-60,1310,724,0.5526717557251909,0.5684620323936334,-0.01579027666844246,0.5256309853928038,0.579404507470263
polymarket,2,Q2 Low-Mid,60,62.5,60-65,657,381,0.5799086757990868,0.620441382069878,-0.0405327062707912,0.541809133236088,0.6170791691952359
