platform,close_month,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2022-03,80,82.5,80-85,3,3,1.0,0.8366666666666667,0.16333333333333333,0.43849391955098227,1.0
kalshi,2022-03,85,87.5,85-90,5,4,0.8,0.87,-0.06999999999999995,0.3755282641185388,0.9637768390302125
kalshi,2022-03,90,92.5,90-95,9,9,1.0,0.9155555555555556,0.08444444444444443,0.7008472464490407,1.0
kalshi,2022-03,95,97.5,95-100,127,126,0.9921259842519685,0.9849606299212599,0.00716535433070864,0.9567449252236082,0.9986087237687615
kalshi,2022-04,0,2.5,0-5,209,1,0.004784688995215311,0.016842105263157894,-0.012057416267942583,0.0008450932561194467,0.02660066922640277
kalshi,2022-04,5,7.5,5-10,18,0,0.0,0.0638888888888889,-0.0638888888888889,0.0,0.1758845505823749
kalshi,2022-04,10,12.5,10-15,10,2,0.2,0.113,0.08700000000000001,0.056680947980693314,0.5098431532792765
kalshi,2022-04,15,17.5,15-20,14,1,0.07142857142857142,0.16714285714285715,-0.09571428571428572,0.012721886112291636,0.3146926955395781
kalshi,2022-04,20,22.5,20-25,6,0,0.0,0.215,-0.215,0.0,0.3903430336530645
kalshi,2022-04,25,27.5,25-30,3,0,0.0,0.26,-0.26,0.0,0.5615060804490177
kalshi,2022-04,30,32.5,30-35,6,2,0.3333333333333333,0.32833333333333337,0.004999999999999949,0.09676933255921683,0.7000116786584712
kalshi,2022-04,35,37.5,35-40,4,2,0.5,0.375,0.125,0.15003570882017148,0.8499642911798285
kalshi,2022-04,40,42.5,40-45,2,1,0.5,0.42,0.08000000000000002,0.09452865480086614,0.9054713451991339
kalshi,2022-04,45,47.5,45-50,1,0,0.0,0.47,-0.47,0.0,0.7934567085261071
kalshi,2022-04,50,52.5,50-55,4,2,0.5,0.53,-0.030000000000000027,0.15003570882017148,0.8499642911798285
kalshi,2022-04,55,57.5,55-60,1,0,0.0,0.59,-0.59,0.0,0.7934567085261071
kalshi,2022-04,60,62.5,60-65,4,0,0.0,0.6125,-0.6125,0.0,0.48990002040399916
kalshi,2022-04,65,67.5,65-70,2,0,0.0,0.665,-0.665,0.0,0.6576280471103807
kalshi,2022-04,70,72.5,70-75,2,1,0.5,0.735,-0.235,0.09452865480086614,0.9054713451991339
kalshi,2022-04,75,77.5,75-80,10,8,0.8,0.773,0.027000000000000024,0.49015684672072335,0.9433190520193067
kalshi,2022-04,80,82.5,80-85,4,4,1.0,0.825,0.17500000000000004,0.5100999795960008,1.0
kalshi,2022-04,85,87.5,85-90,4,2,0.5,0.855,-0.355,0.15003570882017148,0.8499642911798285
kalshi,2022-04,90,92.5,90-95,12,12,1.0,0.9191666666666667,0.08083333333333331,0.7574992425007574,1.0
kalshi,2022-04,95,97.5,95-100,137,137,1.0,0.9845255474452554,0.015474452554744555,0.9727239679185695,1.0
kalshi,2022-05,0,2.5,0-5,583,0,0.0,0.014202401372212695,-0.014202401372212695,0.0,0.006546229851462472
kalshi,2022-05,5,7.5,5-10,51,1,0.0196078431372549,0.06254901960784313,-0.04294117647058823,0.003469603253442241,0.10304807675589372
kalshi,2022-05,10,12.5,10-15,25,1,0.04,0.1144,-0.0744,0.007096050386699165,0.19544472405022525
kalshi,2022-05,15,17.5,15-20,10,1,0.1,0.17,-0.07,0.01787574951572113,0.4041563854975721
kalshi,2022-05,20,22.5,20-25,5,0,0.0,0.21600000000000003,-0.21600000000000003,0.0,0.43449149475208104
kalshi,2022-05,25,27.5,25-30,4,1,0.25,0.2725,-0.02250000000000002,0.045586062644636216,0.6993639475573634
kalshi,2022-05,30,32.5,30-35,3,1,0.3333333333333333,0.31666666666666665,0.016666666666666663,0.0614903152761605,0.7923450448735121
kalshi,2022-05,35,37.5,35-40,2,1,0.5,0.36,0.14,0.09452865480086614,0.9054713451991339
kalshi,2022-05,40,42.5,40-45,5,1,0.2,0.41600000000000004,-0.21600000000000003,0.03622316096978745,0.6244717358814613
kalshi,2022-05,45,47.5,45-50,1,1,1.0,0.49,0.51,0.20654329147389294,1.0
