category_group,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Politics,1h,1.0,<=6h,20,22.5,20-25,35,10,0.2857142857142857,0.21485714285714283,0.07085714285714287,0.16326363398295565,0.45055248069821086
Politics,1h,1.0,<=6h,25,27.5,25-30,32,10,0.3125,0.2684375,0.044062500000000004,0.17952352116618736,0.4856699969803239
Politics,1h,1.0,<=6h,30,32.5,30-35,22,6,0.2727272727272727,0.3145454545454545,-0.04181818181818181,0.1315058201581444,0.4815212369900198
Politics,1h,1.0,<=6h,35,37.5,35-40,26,11,0.4230769230769231,0.3680769230769231,0.05499999999999999,0.255441899027294,0.6105170307888017
Politics,1h,1.0,<=6h,40,42.5,40-45,19,3,0.15789473684210525,0.42,-0.26210526315789473,0.055203710399278266,0.3756592764317668
Politics,1h,1.0,<=6h,45,47.5,45-50,16,4,0.25,0.4675,-0.21750000000000003,0.10181901984237346,0.49498768929398645
Politics,1h,1.0,<=6h,50,52.5,50-55,18,5,0.2777777777777778,0.5122222222222222,-0.23444444444444446,0.12499569146355474,0.5087307754619452
Politics,1h,1.0,<=6h,55,57.5,55-60,10,4,0.4,0.565,-0.16499999999999992,0.16817758120350967,0.6873304525498135
Politics,1h,1.0,<=6h,60,62.5,60-65,21,9,0.42857142857142855,0.62,-0.19142857142857145,0.24469699486521043,0.6345378370296754
Politics,1h,1.0,<=6h,65,67.5,65-70,22,12,0.5454545454545454,0.6722727272727274,-0.12681818181818194,0.34659473289041554,0.7307998556799515
Politics,1h,1.0,<=6h,70,72.5,70-75,15,11,0.7333333333333333,0.7173333333333334,0.015999999999999903,0.4804911034231324,0.8910272389681718
Politics,1h,1.0,<=6h,75,77.5,75-80,13,8,0.6153846153846154,0.7569230769230769,-0.1415384615384615,0.35522480972268555,0.8229055341876319
Politics,1h,1.0,<=6h,80,82.5,80-85,22,17,0.7727272727272727,0.8177272727272726,-0.04499999999999993,0.5655964393704065,0.8987710920517964
Politics,1h,1.0,<=6h,85,87.5,85-90,27,23,0.8518518518518519,0.874074074074074,-0.022222222222222143,0.6752093665317052,0.9408416814035512
Politics,1h,1.0,<=6h,90,92.5,90-95,48,45,0.9375,0.9214583333333333,0.016041666666666732,0.8316430233725778,0.9785171568687727
Politics,1h,1.0,<=6h,95,97.5,95-100,1766,1763,0.9983012457531144,0.9878992072480182,0.010402038505096245,0.9950171601200047,0.9994221162536551
Politics,1h,1.0,<=24h,0,2.5,0-5,2488,6,0.002411575562700965,0.012282958199356913,-0.009871382636655948,0.0011056857950165508,0.005251700645598295
Politics,1h,1.0,<=24h,5,7.5,5-10,158,4,0.02531645569620253,0.06424050632911392,-0.03892405063291139,0.009887970714336322,0.06327986746818287
